leagueid,leaguename
1,Denmark Superliga (1),13
4,Belgium Pro League (1),7
10,Holland Eredivisie (1),34
13,England Premier League (1),14
14,England Championship (2),14
16,France Ligue 1 (1),18
19,Germany 1. Bundesliga (1),21
31,Italy Serie A (1),27
32,Italy Serie B (2),27
39,USA Major League Soccer (1),95
50,Scotland Premiership (1),42
53,Spain Primera Division (1),45
54,Spain Segunda Division (2),45
63,Greece A'Ethniki (1),22
68,Turkey Super Lig (1),48
189,Switzerland Super League (1),47
308,Portugal Primeira Liga (1),38
317,Croatia Prva HNL (1),10
319,Czech Republic Liga (1),12
332,Ukraine Premier Liga (1),49
350,Saudi Pro League (1),183
351,Australia A-League (1),195
1003,CONMEBOL Libertadores,52
1014,CONMEBOL Sudamericana,52
2012,China Super League (1),155
